ts,lat,lon,alt,spd,hdg,vspd
1749785760,31.72916,36.00551,0.0,30.0,81.0,0.0
1749785766,31.72931,36.00658,0.0,28.0,81.0,0.0
1749785773,31.72943,36.0074,0.0,15.0,73.0,0.0
1749785777,31.72955,36.00762,0.0,13.0,53.0,0.0
1749785782,31.72982,36.00782,0.0,14.0,19.0,0.0
1749785786,31.73009,36.00783,0.0,14.0,354.0,0.0
1749785791,31.73039,36.00777,0.0,15.0,348.0,0.0
1749785794,31.73061,36.00772,0.0,15.0,351.0,0.0
1749785801,31.73108,36.00762,0.0,15.0,351.0,0.0
1749785804,31.73133,36.00758,0.0,15.0,351.0,0.0
1749785810,31.7317,36.0075,0.0,13.0,351.0,0.0
1749785814,31.73191,36.00743,0.0,11.0,337.0,0.0
1749785820,31.73211,36.00718,0.0,10.0,300.0,0.0
1749785824,31.73215,36.00694,0.0,10.0,272.0,0.0
1749785840,31.7321,36.00659,0.0,0.0,261.0,0.0
1749785845,31.73204,36.00616,0.0,28.0,261.0,0.0
1749785855,31.73163,36.00352,2375.0,76.0,260.0,0.0
1749785864,31.73094,35.99859,2375.0,110.0,260.0,0.0
1749785871,31.73035,35.99428,2375.0,136.0,260.0,-128.0
1749785880,31.72934,35.98744,2350.0,163.0,260.0,-128.0
1749785889,31.72805,35.97863,2400.0,181.0,259.0,1536.0
1749785897,31.72689,35.97094,2725.0,176.0,259.0,3008.0
1749785906,31.72559,35.96224,3200.0,168.0,259.0,3264.0
1749785912,31.72472,35.95701,3500.0,164.0,258.0,2880.0
1749785921,31.72335,35.94913,3875.0,164.0,258.0,2112.0
1749785927,31.72242,35.94386,4075.0,168.0,258.0,1408.0
1749785931,31.72165,35.94005,4150.0,176.0,254.0,704.0
1749785933,31.72088,35.9376,4175.0,181.0,248.0,448.0
1749785935,31.72037,35.93623,4200.0,185.0,244.0,448.0
1749785938,31.7193,35.93408,4200.0,191.0,237.0,384.0
1749785940,31.71823,35.93232,4225.0,196.0,232.0,320.0
1749785942,31.71666,35.93025,4225.0,202.0,225.0,256.0
1749785944,31.71524,35.92874,4250.0,208.0,220.0,128.0
1749785946,31.7138,35.92744,4250.0,213.0,215.0,64.0
1749785949,31.71199,35.92605,4250.0,218.0,210.0,128.0
1749785951,31.70957,35.92463,4250.0,225.0,204.0,576.0
1749785953,31.70709,35.92341,4275.0,228.0,201.0,896.0
1749785955,31.70524,35.92266,4300.0,231.0,198.0,1344.0
1749785957,31.70282,35.92172,4375.0,233.0,197.0,1600.0
1749785959,31.70072,35.92101,4425.0,234.0,196.0,1792.0
1749785962,31.69863,35.9203,4500.0,235.0,195.0,2304.0
1749785964,31.69649,35.91964,4550.0,236.0,195.0,2560.0
1749785966,31.69397,35.91881,4675.0,236.0,194.0,2816.0
1749785968,31.69141,35.91804,4775.0,236.0,195.0,2880.0
1749785970,31.68927,35.91733,4875.0,235.0,196.0,2944.0
1749785973,31.68727,35.91661,4975.0,234.0,197.0,2944.0
1749785975,31.6848,35.91563,5075.0,233.0,198.0,2944.0
1749785977,31.68233,35.91463,5200.0,232.0,199.0,3008.0
1749785979,31.68033,35.91376,5300.0,231.0,200.0,3008.0
1749785992,31.66763,35.90815,5925.0,226.0,200.0,2752.0
1749786007,31.65312,35.90208,6525.0,227.0,199.0,2240.0
1749786020,31.64076,35.89724,6975.0,229.0,198.0,2048.0
1749786032,31.62708,35.8919,7400.0,234.0,198.0,1728.0
1749786045,31.6132,35.88651,7775.0,241.0,198.0,1728.0
1749786058,31.59961,35.88119,8125.0,246.0,198.0,1728.0
1749786071,31.5856,35.87564,8500.0,253.0,198.0,1664.0
1749786084,31.5708,35.86981,8825.0,260.0,198.0,1472.0
1749786098,31.55388,35.86309,9200.0,268.0,198.0,1472.0
1749786111,31.53905,35.85717,9500.0,276.0,199.0,1472.0
1749786124,31.52303,35.8507,9825.0,282.0,199.0,1408.0
1749786137,31.50682,35.84424,10125.0,288.0,199.0,1536.0
1749786151,31.48863,35.83685,10475.0,296.0,199.0,1472.0
1749786164,31.47141,35.82982,10800.0,300.0,199.0,1536.0
1749786177,31.45468,35.82291,11125.0,306.0,199.0,1472.0
1749786190,31.43715,35.81576,11425.0,310.0,199.0,1472.0
1749786203,31.4192,35.80843,11750.0,314.0,199.0,1472.0
1749786216,31.40204,35.80137,12050.0,319.0,199.0,1472.0
1749786247,31.35695,35.78279,12825.0,326.0,199.0,1472.0
1749786279,31.31204,35.76432,13600.0,331.0,199.0,1472.0
1749786310,31.26581,35.74537,14400.0,336.0,199.0,1472.0
1749786342,31.21779,35.72589,15200.0,343.0,199.0,1536.0
1749786374,31.16982,35.70654,15975.0,347.0,199.0,1472.0
1749786406,31.12133,35.687,16750.0,349.0,199.0,1472.0
1749786437,31.07399,35.66794,17475.0,352.0,199.0,1344.0
1749786470,31.02283,35.6475,18000.0,361.0,199.0,-64.0
1749786501,30.97078,35.62662,18000.0,384.0,199.0,64.0
1749786533,30.91713,35.60524,18000.0,387.0,198.0,64.0
1749786565,30.86316,35.58378,18000.0,387.0,198.0,0.0
1749786598,30.80763,35.56167,18000.0,387.0,199.0,0.0
1749786630,30.75266,35.53948,18000.0,386.0,199.0,0.0
1749786660,30.70232,35.51913,18000.0,386.0,199.0,0.0
1749786692,30.64804,35.49721,18000.0,388.0,199.0,0.0
1749786724,30.59381,35.47556,18000.0,388.0,198.0,0.0
1749786756,30.53856,35.4538,18000.0,390.0,198.0,0.0
1749786788,30.48422,35.43239,18000.0,389.0,199.0,0.0
1749786820,30.43031,35.41102,18000.0,389.0,199.0,-64.0
1749786851,30.37641,35.38966,18000.0,389.0,199.0,-320.0
1749786883,30.3231,35.36861,17675.0,387.0,198.0,-768.0
1749786916,30.26645,35.34664,17275.0,382.0,198.0,-704.0
1749786948,30.21291,35.32588,16800.0,378.0,198.0,-896.0
1749786980,30.16068,35.30561,16325.0,373.0,198.0,-896.0
1749787011,30.10812,35.28518,15950.0,371.0,198.0,-896.0
1749787044,30.05552,35.2649,15475.0,370.0,198.0,-896.0
1749787076,30.00413,35.24502,15000.0,370.0,198.0,-896.0
1749787107,29.95292,35.22535,14550.0,368.0,198.0,-896.0
1749787139,29.90204,35.20574,14100.0,363.0,198.0,-896.0
1749787169,29.85365,35.1872,13650.0,363.0,198.0,-896.0
1749787201,29.80376,35.16729,13200.0,349.0,199.0,-832.0
1749787233,29.75674,35.14833,12775.0,317.0,199.0,-1024.0
1749787263,29.71662,35.13207,12400.0,291.0,199.0,-448.0
1749787291,29.68403,35.11726,12250.0,264.0,209.0,-384.0
1749787293,29.68189,35.11581,12225.0,263.0,211.0,-448.0
1749787295,29.67934,35.11394,12225.0,261.0,213.0,-448.0
1749787297,29.67737,35.11236,12200.0,258.0,215.0,-448.0
1749787299,29.67503,35.11035,12175.0,257.0,217.0,-448.0
1749787301,29.673,35.10848,12175.0,255.0,219.0,-448.0
1749787304,29.67105,35.10655,12150.0,254.0,221.0,-448.0
1749787306,29.66914,35.10455,12150.0,252.0,223.0,-384.0
1749787308,29.66779,35.10304,12125.0,251.0,224.0,-384.0
1749787310,29.66597,35.10106,12125.0,249.0,224.0,-384.0
1749787312,29.66432,35.09921,12100.0,248.0,224.0,-384.0
1749787314,29.66248,35.09717,12075.0,246.0,224.0,-448.0
1749787316,29.66085,35.09539,12075.0,244.0,224.0,-512.0
1749787318,29.6589,35.09324,12050.0,242.0,223.0,-576.0
1749787320,29.65727,35.09146,12025.0,240.0,223.0,-576.0
1749787323,29.65541,35.08936,12000.0,239.0,223.0,-640.0
1749787325,29.65382,35.08759,12000.0,237.0,223.0,-640.0
1749787357,29.62875,35.06112,11325.0,227.0,223.0,-2432.0
1749787370,29.61845,35.05008,10800.0,233.0,222.0,-2304.0
1749787383,29.6082,35.03931,10325.0,234.0,222.0,-2112.0
1749787396,29.59772,35.02806,9900.0,233.0,223.0,-1728.0
1749787409,29.58763,35.01704,9500.0,229.0,223.0,-1984.0
1749787420,29.57869,35.0089,9125.0,226.0,212.0,-2112.0
1749787422,29.57687,35.00772,9050.0,225.0,208.0,-2176.0
1749787424,29.57483,35.00656,8975.0,224.0,206.0,-2176.0
1749787426,29.573,35.00561,8900.0,224.0,203.0,-2176.0
1749787428,29.57062,35.00455,8800.0,224.0,200.0,-2176.0
1749787430,29.56849,35.00373,8725.0,224.0,198.0,-2112.0
1749787433,29.56631,35.00297,8650.0,224.0,197.0,-2112.0
1749787435,29.5643,35.00228,8575.0,223.0,197.0,-2112.0
1749787437,29.56233,35.00159,8500.0,224.0,197.0,-2048.0
1749787439,29.56032,35.00086,8450.0,224.0,197.0,-1984.0
1749787441,29.55794,35.00006,8350.0,224.0,196.0,-2048.0
1749787444,29.55536,34.99916,8275.0,224.0,196.0,-2048.0
1749787446,29.55313,34.99837,8200.0,224.0,196.0,-1984.0
